dataset,iters,norm,ndcg
OHSUMED,220,query-level normalization,0.45068
OHSUMED,220,global normalization,0.43554
TD2004,220,query-level normalization,0.27144
TD2004,220,global normalization,0.2447
HP2003,220,query-level normalization,0.73058
HP2003,220,global normalization,0.7209
TD2003,220,query-level normalization,0.31136
TD2003,220,global normalization,0.28834
NP2003,220,query-level normalization,0.15326
NP2003,220,global normalization,0.1372
NP2004,222,query-level normalization,0.13846
NP2004,222,global normalization,0.15564
HP2004,222,query-level normalization,0.28378
HP2004,222,global normalization,0.12656
OHSUMED,222,query-level normalization,0.4502
OHSUMED,222,global normalization,0.43266
TD2004,222,query-level normalization,0.27868
TD2004,222,global normalization,0.26412
HP2003,222,query-level normalization,0.72374
HP2003,222,global normalization,0.70742
TD2003,222,query-level normalization,0.29024
TD2003,222,global normalization,0.30466
NP2003,222,query-level normalization,0.21508
NP2003,222,global normalization,0.1587
NP2004,224,query-level normalization,0.15134
NP2004,224,global normalization,0.1292
HP2004,224,query-level normalization,0.00574
HP2004,224,global normalization,0.16096
OHSUMED,224,query-level normalization,0.43474
OHSUMED,224,global normalization,0.42932
TD2004,224,query-level normalization,0.26644
TD2004,224,global normalization,0.22956
HP2003,224,query-level normalization,0.76216
HP2003,224,global normalization,0.70682
TD2003,224,query-level normalization,0.24704
TD2003,224,global normalization,0.27352
NP2003,224,query-level normalization,0.26152
NP2003,224,global normalization,0.24186
NP2004,226,query-level normalization,0.14288
NP2004,226,global normalization,0.23806
HP2004,226,query-level normalization,0.3241
HP2004,226,global normalization,0.1105
OHSUMED,226,query-level normalization,0.431
OHSUMED,226,global normalization,0.43192
TD2004,226,query-level normalization,0.2541
TD2004,226,global normalization,0.25746
HP2003,226,query-level normalization,0.6869
HP2003,226,global normalization,0.68698
TD2003,226,query-level normalization,0.28182
TD2003,226,global normalization,0.30776
NP2003,226,query-level normalization,0.2449
NP2003,226,global normalization,0.18956
NP2004,228,query-level normalization,0.07836
NP2004,228,global normalization,0.09856
HP2004,228,query-level normalization,0.13176
HP2004,228,global normalization,0.13922
OHSUMED,228,query-level normalization,0.4304
OHSUMED,228,global normalization,0.44174
TD2004,228,query-level normalization,0.24446
TD2004,228,global normalization,0.26084
HP2003,228,query-level normalization,0.71724
HP2003,228,global normalization,0.7391
TD2003,228,query-level normalization,0.31466
TD2003,228,global normalization,0.30438
NP2003,228,query-level normalization,0.19022
NP2003,228,global normalization,0.10898
NP2004,230,query-level normalization,0.18746
NP2004,230,global normalization,0.17538
HP2004,230,query-level normalization,0.33556
HP2004,230,global normalization,0.4145
OHSUMED,230,query-level normalization,0.4466
OHSUMED,230,global normalization,0.43942
TD2004,230,query-level normalization,0.2477
TD2004,230,global normalization,0.25206
HP2003,230,query-level normalization,0.7002
HP2003,230,global normalization,0.75116
TD2003,230,query-level normalization,0.27832
TD2003,230,global normalization,0.31758
NP2003,230,query-level normalization,0.20554
NP2003,230,global normalization,0.25156
NP2004,232,query-level normalization,0.23358
NP2004,232,global normalization,0.15582
HP2004,232,query-level normalization,0.49254
HP2004,232,global normalization,0.33134
OHSUMED,232,query-level normalization,0.43522
OHSUMED,232,global normalization,0.44302
TD2004,232,query-level normalization,0.27116
TD2004,232,global normalization,0.2501
HP2003,232,query-level normalization,0.71836
HP2003,232,global normalization,0.71326
TD2003,232,query-level normalization,0.29836
TD2003,232,global normalization,0.28088
NP2003,232,query-level normalization,0.14488
NP2003,232,global normalization,0.25774
NP2004,234,query-level normalization,0.13318
NP2004,234,global normalization,0.16968
HP2004,234,query-level normalization,0.20554
HP2004,234,global normalization,0.43164
OHSUMED,234,query-level normalization,0.42546
OHSUMED,234,global normalization,0.43172
TD2004,234,query-level normalization,0.28376
TD2004,234,global normalization,0.27096
HP2003,234,query-level normalization,0.75146
HP2003,234,global normalization,0.69808
TD2003,234,query-level normalization,0.30142
TD2003,234,global normalization,0.29358
NP2003,234,query-level normalization,0.11818
NP2003,234,global normalization,0.17542
NP2004,236,query-level normalization,0.14732
NP2004,236,global normalization,0.12586
HP2004,236,query-level normalization,0.44128
HP2004,236,global normalization,0.0918
OHSUMED,236,query-level normalization,0.44088
OHSUMED,236,global normalization,0.44192
TD2004,236,query-level normalization,0.2502
TD2004,236,global normalization,0.2746
HP2003,236,query-level normalization,0.69314
HP2003,236,global normalization,0.68944
TD2003,236,query-level normalization,0.27324
TD2003,236,global normalization,0.29238
NP2003,236,query-level normalization,0.17804
NP2003,236,global normalization,0.1509
NP2004,238,query-level normalization,0.186
NP2004,238,global normalization,0.18932
HP2004,238,query-level normalization,0.06374
HP2004,238,global normalization,0.04958
OHSUMED,238,query-level normalization,0.42938
OHSUMED,238,global normalization,0.4416
TD2004,238,query-level normalization,0.2615
TD2004,238,global normalization,0.2635
HP2003,238,query-level normalization,0.67974
HP2003,238,global normalization,0.69726
TD2003,238,query-level normalization,0.30208
TD2003,238,global normalization,0.29708
NP2003,238,query-level normalization,0.16558
NP2003,238,global normalization,0.16004
NP2004,240,query-level normalization,0.1349
NP2004,240,global normalization,0.15346
HP2004,240,query-level normalization,0.5174
HP2004,240,global normalization,0.04216
OHSUMED,240,query-level normalization,0.44098
OHSUMED,240,global normalization,0.43676
TD2004,240,query-level normalization,0.23142
TD2004,240,global normalization,0.27402
HP2003,240,query-level normalization,0.73044
HP2003,240,global normalization,0.73332
TD2003,240,query-level normalization,0.33604
TD2003,240,global normalization,0.31646
NP2003,240,query-level normalization,0.21354
NP2003,240,global normalization,0.1555
NP2004,242,query-level normalization,0.17378
NP2004,242,global normalization,0.16772
HP2004,242,query-level normalization,0.49396
HP2004,242,global normalization,0.1928
OHSUMED,242,query-level normalization,0.44392
OHSUMED,242,global normalization,0.4245
TD2004,242,query-level normalization,0.26386
TD2004,242,global normalization,0.27464
HP2003,242,query-level normalization,0.72636
HP2003,242,global normalization,0.66518
TD2003,242,query-level normalization,0.30848
TD2003,242,global normalization,0.3024
NP2003,242,query-level normalization,0.16192
NP2003,242,global normalization,0.19716
NP2004,244,query-level normalization,0.12126
NP2004,244,global normalization,0.24076
HP2004,244,query-level normalization,0.10994
HP2004,244,global normalization,0.21276
OHSUMED,244,query-level normalization,0.43022
OHSUMED,244,global normalization,0.42864
TD2004,244,query-level normalization,0.24288
TD2004,244,global normalization,0.25384
HP2003,244,query-level normalization,0.7443
HP2003,244,global normalization,0.74204
TD2003,244,query-level normalization,0.30494
TD2003,244,global normalization,0.30542
NP2003,244,query-level normalization,0.15072
NP2003,244,global normalization,0.12928
NP2004,246,query-level normalization,0.20028
NP2004,246,global normalization,0.13954
HP2004,246,query-level normalization,0.24366
HP2004,246,global normalization,0.3341
OHSUMED,246,query-level normalization,0.42968
OHSUMED,246,global normalization,0.44274
TD2004,246,query-level normalization,0.2678
TD2004,246,global normalization,0.26912
HP2003,246,query-level normalization,0.68062
HP2003,246,global normalization,0.71106
TD2003,246,query-level normalization,0.2995
TD2003,246,global normalization,0.29068
NP2003,246,query-level normalization,0.1767
NP2003,246,global normalization,0.17684
NP2004,248,query-level normalization,0.12872
NP2004,248,global normalization,0.0927
HP2004,248,query-level normalization,0.05476
HP2004,248,global normalization,0.32112
OHSUMED,248,query-level normalization,0.44188
OHSUMED,248,global normalization,0.44064
TD2004,248,query-level normalization,0.27342
TD2004,248,global normalization,0.24732
HP2003,248,query-level normalization,0.70692
HP2003,248,global normalization,0.72282
TD2003,248,query-level normalization,0.30108
TD2003,248,global normalization,0.3078
NP2003,248,query-level normalization,0.25682
NP2003,248,global normalization,0.21642
NP2004,250,query-level normalization,0.17214
NP2004,250,global normalization,0.18308
HP2004,250,query-level normalization,0.03508
HP2004,250,global normalization,0.22038
OHSUMED,250,query-level normalization,0.44008
OHSUMED,250,global normalization,0.43802
TD2004,250,query-level normalization,0.25006
TD2004,250,global normalization,0.25518
HP2003,250,query-level normalization,0.72792
HP2003,250,global normalization,0.71
TD2003,250,query-level normalization,0.30638
TD2003,250,global normalization,0.31314
NP2003,250,query-level normalization,0.2204
NP2003,250,global normalization,0.2404
NP2004,252,query-level normalization,0.18334
NP2004,252,global normalization,0.1585
HP2004,252,query-level normalization,0.31424
HP2004,252,global normalization,0.44368
OHSUMED,252,query-level normalization,0.44172
OHSUMED,252,global normalization,0.42998
TD2004,252,query-level normalization,0.2365
TD2004,252,global normalization,0.25262
HP2003,252,query-level normalization,0.71138
HP2003,252,global normalization,0.70692
TD2003,252,query-level normalization,0.30934
TD2003,252,global normalization,0.32606
NP2003,252,query-level normalization,0.27768
NP2003,252,global normalization,0.1609
NP2004,254,query-level normalization,0.12128
NP2004,254,global normalization,0.22258
HP2004,254,query-level normalization,0.5403
HP2004,254,global normalization,0.26142
OHSUMED,254,query-level normalization,0.4385
OHSUMED,254,global normalization,0.43974
TD2004,254,query-level normalization,0.26408
TD2004,254,global normalization,0.2361
HP2003,254,query-level normalization,0.7092
HP2003,254,global normalization,0.72738
TD2003,254,query-level normalization,0.29966
TD2003,254,global normalization,0.30478
NP2003,254,query-level normalization,0.13948
NP2003,254,global normalization,0.22744
NP2004,256,query-level normalization,0.2222
NP2004,256,global normalization,0.20978
HP2004,256,query-level normalization,0.08606
HP2004,256,global normalization,0.41516
OHSUMED,256,query-level normalization,0.44266
OHSUMED,256,global normalization,0.44328
TD2004,256,query-level normalization,0.26904
TD2004,256,global normalization,0.2688
HP2003,256,query-level normalization,0.71716
HP2003,256,global normalization,0.71058
TD2003,256,query-level normalization,0.28822
TD2003,256,global normalization,0.32936
NP2003,256,query-level normalization,0.2318
NP2003,256,global normalization,0.21108
NP2004,258,query-level normalization,0.18606
NP2004,258,global normalization,0.15748
HP2004,258,query-level normalization,0.17092
HP2004,258,global normalization,0
OHSUMED,258,query-level normalization,0.4297
OHSUMED,258,global normalization,0.44268
TD2004,258,query-level normalization,0.2606
TD2004,258,global normalization,0.27136
HP2003,258,query-level normalization,0.75168
HP2003,258,global normalization,0.73032
TD2003,258,query-level normalization,0.2989
TD2003,258,global normalization,0.32794
NP2003,258,query-level normalization,0.15034
NP2003,258,global normalization,0.20532
NP2004,260,query-level normalization,0.22194
NP2004,260,global normalization,0.15598
HP2004,260,query-level normalization,0.20238
HP2004,260,global normalization,0.4324
OHSUMED,260,query-level normalization,0.43394
OHSUMED,260,global normalization,0.43802
TD2004,260,query-level normalization,0.26694
TD2004,260,global normalization,0.24034
HP2003,260,query-level normalization,0.72092
HP2003,260,global normalization,0.705
TD2003,260,query-level normalization,0.32712
TD2003,260,global normalization,0.33338
NP2003,260,query-level normalization,0.21524
NP2003,260,global normalization,0.1473
NP2004,262,query-level normalization,0.2308
NP2004,262,global normalization,0.2332
HP2004,262,query-level normalization,0.09302
HP2004,262,global normalization,0.5437
OHSUMED,262,query-level normalization,0.43972
OHSUMED,262,global normalization,0.43546
TD2004,262,query-level normalization,0.25434
TD2004,262,global normalization,0.28862
HP2003,262,query-level normalization,0.7657
HP2003,262,global normalization,0.70632
TD2003,262,query-level normalization,0.30656
TD2003,262,global normalization,0.31366
NP2003,262,query-level normalization,0.24774
NP2003,262,global normalization,0.20536
NP2004,264,query-level normalization,0.17694
NP2004,264,global normalization,0.09188
HP2004,264,query-level normalization,0.28318
HP2004,264,global normalization,0.13198
OHSUMED,264,query-level normalization,0.44396
OHSUMED,264,global normalization,0.42818
TD2004,264,query-level normalization,0.28166
TD2004,264,global normalization,0.28048
HP2003,264,query-level normalization,0.75038
HP2003,264,global normalization,0.72974
TD2003,264,query-level normalization,0.29534
TD2003,264,global normalization,0.30866
NP2003,264,query-level normalization,0.0978
NP2003,264,global normalization,0.2209
NP2004,266,query-level normalization,0.1463
NP2004,266,global normalization,0.13096
HP2004,266,query-level normalization,0.29358
HP2004,266,global normalization,0.36622
OHSUMED,266,query-level normalization,0.44278
OHSUMED,266,global normalization,0.42642
TD2004,266,query-level normalization,0.22816
TD2004,266,global normalization,0.28762
HP2003,266,query-level normalization,0.65664
HP2003,266,global normalization,0.67838
TD2003,266,query-level normalization,0.31006
TD2003,266,global normalization,0.30678
NP2003,266,query-level normalization,0.24096
NP2003,266,global normalization,0.18594
NP2004,268,query-level normalization,0.10622
NP2004,268,global normalization,0.2015
HP2004,268,query-level normalization,0.10972
HP2004,268,global normalization,0.10152
OHSUMED,268,query-level normalization,0.42926
OHSUMED,268,global normalization,0.43084
TD2004,268,query-level normalization,0.2535
TD2004,268,global normalization,0.27264
HP2003,268,query-level normalization,0.6905
HP2003,268,global normalization,0.69654
TD2003,268,query-level normalization,0.34636
TD2003,268,global normalization,0.30508
NP2003,268,query-level normalization,0.16712
NP2003,268,global normalization,0.16018
NP2004,270,query-level normalization,0.1516
NP2004,270,global normalization,0.2138
HP2004,270,query-level normalization,0.19018
HP2004,270,global normalization,0.55546
OHSUMED,270,query-level normalization,0.44216
OHSUMED,270,global normalization,0.4333
TD2004,270,query-level normalization,0.2457
TD2004,270,global normalization,0.28768
HP2003,270,query-level normalization,0.68244
HP2003,270,global normalization,0.74768
TD2003,270,query-level normalization,0.3114
TD2003,270,global normalization,0.33286
NP2003,270,query-level normalization,0.17556
NP2003,270,global normalization,0.24114
NP2004,272,query-level normalization,0.18802
NP2004,272,global normalization,0.1281
HP2004,272,query-level normalization,0.26512
HP2004,272,global normalization,0.28694
OHSUMED,272,query-level normalization,0.43474
OHSUMED,272,global normalization,0.44276
TD2004,272,query-level normalization,0.31074
TD2004,272,global normalization,0.2794
HP2003,272,query-level normalization,0.6928
HP2003,272,global normalization,0.73708
TD2003,272,query-level normalization,0.29532
TD2003,272,global normalization,0.3221
NP2003,272,query-level normalization,0.21072
NP2003,272,global normalization,0.17646
NP2004,274,query-level normalization,0.16986
NP2004,274,global normalization,0.21314
HP2004,274,query-level normalization,0.12412
HP2004,274,global normalization,0.41544
OHSUMED,274,query-level normalization,0.43966
OHSUMED,274,global normalization,0.44402
TD2004,274,query-level normalization,0.2349
TD2004,274,global normalization,0.25996
HP2003,274,query-level normalization,0.71626
HP2003,274,global normalization,0.72
TD2003,274,query-level normalization,0.3366
TD2003,274,global normalization,0.34048
NP2003,274,query-level normalization,0.1816
NP2003,274,global normalization,0.2063
NP2004,276,query-level normalization,0.30386
NP2004,276,global normalization,0.13674
HP2004,276,query-level normalization,0.18438
HP2004,276,global normalization,0.0532
OHSUMED,276,query-level normalization,0.42578
OHSUMED,276,global normalization,0.42776
TD2004,276,query-level normalization,0.26516
TD2004,276,global normalization,0.28162
HP2003,276,query-level normalization,0.7088
HP2003,276,global normalization,0.73968
TD2003,276,query-level normalization,0.29352
TD2003,276,global normalization,0.31112
NP2003,276,query-level normalization,0.2298
NP2003,276,global normalization,0.2039
NP2004,278,query-level normalization,0.08678
NP2004,278,global normalization,0.15612
HP2004,278,query-level normalization,0.18764
HP2004,278,global normalization,0.0865
OHSUMED,278,query-level normalization,0.43688
OHSUMED,278,global normalization,0.43892
TD2004,278,query-level normalization,0.25786
TD2004,278,global normalization,0.2427
HP2003,278,query-level normalization,0.72634
HP2003,278,global normalization,0.73328
TD2003,278,query-level normalization,0.30278
TD2003,278,global normalization,0.30912
NP2003,278,query-level normalization,0.14318
NP2003,278,global normalization,0.24056
NP2004,280,query-level normalization,0.12816
NP2004,280,global normalization,0.23156
HP2004,280,query-level normalization,0.02332
HP2004,280,global normalization,0.46822
OHSUMED,280,query-level normalization,0.44352
OHSUMED,280,global normalization,0.44398
TD2004,280,query-level normalization,0.26066
TD2004,280,global normalization,0.28062
HP2003,280,query-level normalization,0.706
HP2003,280,global normalization,0.73052
TD2003,280,query-level normalization,0.32722
TD2003,280,global normalization,0.32004
NP2003,280,query-level normalization,0.14654
NP2003,280,global normalization,0.2243
NP2004,282,query-level normalization,0.15088
NP2004,282,global normalization,0.18428
HP2004,282,query-level normalization,0.431
HP2004,282,global normalization,0.11838
OHSUMED,282,query-level normalization,0.43216
OHSUMED,282,global normalization,0.4416
TD2004,282,query-level normalization,0.27274
TD2004,282,global normalization,0.26492
HP2003,282,query-level normalization,0.73204
HP2003,282,global normalization,0.72366
TD2003,282,query-level normalization,0.28426
TD2003,282,global normalization,0.2922
NP2003,282,query-level normalization,0.18466
NP2003,282,global normalization,0.20082
NP2004,284,query-level normalization,0.22668
NP2004,284,global normalization,0.1881
HP2004,284,query-level normalization,0.20904
HP2004,284,global normalization,0.40478
OHSUMED,284,query-level normalization,0.42746
OHSUMED,284,global normalization,0.43454
TD2004,284,query-level normalization,0.26438
TD2004,284,global normalization,0.2292
HP2003,284,query-level normalization,0.72302
HP2003,284,global normalization,0.78022
TD2003,284,query-level normalization,0.3074
TD2003,284,global normalization,0.3032
NP2003,284,query-level normalization,0.23992
NP2003,284,global normalization,0.18198
NP2004,286,query-level normalization,0.09078
NP2004,286,global normalization,0.24268
HP2004,286,query-level normalization,0.13172
HP2004,286,global normalization,0.41194
OHSUMED,286,query-level normalization,0.44174
OHSUMED,286,global normalization,0.44176
TD2004,286,query-level normalization,0.25908
TD2004,286,global normalization,0.25834
HP2003,286,query-level normalization,0.68002
HP2003,286,global normalization,0.71742
TD2003,286,query-level normalization,0.2666
TD2003,286,global normalization,0.32882
NP2003,286,query-level normalization,0.18198
NP2003,286,global normalization,0.19174
NP2004,288,query-level normalization,0.14098
NP2004,288,global normalization,0.14394
HP2004,288,query-level normalization,0.05166
HP2004,288,global normalization,0.0042
OHSUMED,288,query-level normalization,0.4393
OHSUMED,288,global normalization,0.43266
TD2004,288,query-level normalization,0.22954
TD2004,288,global normalization,0.26028
HP2003,288,query-level normalization,0.68746
HP2003,288,global normalization,0.72214
TD2003,288,query-level normalization,0.31788
TD2003,288,global normalization,0.3281
NP2003,288,query-level normalization,0.16296
NP2003,288,global normalization,0.2027
NP2004,290,query-level normalization,0.1608
NP2004,290,global normalization,0.1593
HP2004,290,query-level normalization,0.2083
HP2004,290,global normalization,0.11896
OHSUMED,290,query-level normalization,0.43668
OHSUMED,290,global normalization,0.44458
TD2004,290,query-level normalization,0.26708
TD2004,290,global normalization,0.2696
HP2003,290,query-level normalization,0.68666
HP2003,290,global normalization,0.71804
TD2003,290,query-level normalization,0.3029
TD2003,290,global normalization,0.304
NP2003,290,query-level normalization,0.15528
NP2003,290,global normalization,0.2291
NP2004,292,query-level normalization,0.14762
NP2004,292,global normalization,0.16626
HP2004,292,query-level normalization,0.29038
HP2004,292,global normalization,0.31914
OHSUMED,292,query-level normalization,0.42922
OHSUMED,292,global normalization,0.44304
TD2004,292,query-level normalization,0.25428
TD2004,292,global normalization,0.25102
HP2003,292,query-level normalization,0.72558
HP2003,292,global normalization,0.70662
TD2003,292,query-level normalization,0.3018
TD2003,292,global normalization,0.30744
NP2003,292,query-level normalization,0.22438
NP2003,292,global normalization,0.25328
NP2004,294,query-level normalization,0.21462
NP2004,294,global normalization,0.13106
HP2004,294,query-level normalization,0.09478
HP2004,294,global normalization,0.30944
OHSUMED,294,query-level normalization,0.44332
OHSUMED,294,global normalization,0.43402
TD2004,294,query-level normalization,0.26824
TD2004,294,global normalization,0.24412
HP2003,294,query-level normalization,0.70686
HP2003,294,global normalization,0.76188
TD2003,294,query-level normalization,0.33188
TD2003,294,global normalization,0.3068
NP2003,294,query-level normalization,0.22492
NP2003,294,global normalization,0.23488
NP2004,296,query-level normalization,0.19072
NP2004,296,global normalization,0.20836
HP2004,296,query-level normalization,0.38086
HP2004,296,global normalization,0.31644
OHSUMED,296,query-level normalization,0.44416
OHSUMED,296,global normalization,0.43978
TD2004,296,query-level normalization,0.26786
TD2004,296,global normalization,0.25034
HP2003,296,query-level normalization,0.69486
HP2003,296,global normalization,0.73702
TD2003,296,query-level normalization,0.30786
TD2003,296,global normalization,0.3183
NP2003,296,query-level normalization,0.21272
NP2003,296,global normalization,0.22826
NP2004,298,query-level normalization,0.17204
NP2004,298,global normalization,0.15528
HP2004,298,query-level normalization,0.27256
HP2004,298,global normalization,0.34762
OHSUMED,298,query-level normalization,0.4436
OHSUMED,298,global normalization,0.44126
TD2004,298,query-level normalization,0.26834
TD2004,298,global normalization,0.25408
HP2003,298,query-level normalization,0.70808
HP2003,298,global normalization,0.7048
TD2003,298,query-level normalization,0.3244
TD2003,298,global normalization,0.2904
NP2003,298,query-level normalization,0.1702
NP2003,298,global normalization,0.17754
NP2004,300,query-level normalization,0.15426
NP2004,300,global normalization,0.21162
HP2004,300,query-level normalization,0.14764
HP2004,300,global normalization,0.00842
OHSUMED,300,query-level normalization,0.43942
OHSUMED,300,global normalization,0.43646
TD2004,300,query-level normalization,0.27824
TD2004,300,global normalization,0.27792
HP2003,300,query-level normalization,0.6908
HP2003,300,global normalization,0.68684
TD2003,300,query-level normalization,0.33344
TD2003,300,global normalization,0.31836
NP2003,300,query-level normalization,0.19786
NP2003,300,global normalization,0.25038
NP2004,302,query-level normalization,0.17128
NP2004,302,global normalization,0.1551
HP2004,302,query-level normalization,0.175
HP2004,302,global normalization,0.51524
OHSUMED,302,query-level normalization,0.44418
OHSUMED,302,global normalization,0.43036
TD2004,302,query-level normalization,0.25036
TD2004,302,global normalization,0.25462
HP2003,302,query-level normalization,0.719
HP2003,302,global normalization,0.74734
TD2003,302,query-level normalization,0.32032
TD2003,302,global normalization,0.32658
NP2003,302,query-level normalization,0.1984
NP2003,302,global normalization,0.1535
NP2004,304,query-level normalization,0.19608
NP2004,304,global normalization,0.14854
HP2004,304,query-level normalization,0.1983
HP2004,304,global normalization,0.22244
OHSUMED,304,query-level normalization,0.43618
OHSUMED,304,global normalization,0.43792
TD2004,304,query-level normalization,0.25618
TD2004,304,global normalization,0.26282
HP2003,304,query-level normalization,0.7244
HP2003,304,global normalization,0.74684
TD2003,304,query-level normalization,0.32504
TD2003,304,global normalization,0.32552
NP2003,304,query-level normalization,0.22226
NP2003,304,global normalization,0.25746
NP2004,306,query-level normalization,0.1732
NP2004,306,global normalization,0.12758
HP2004,306,query-level normalization,0.25756
HP2004,306,global normalization,0.09992
OHSUMED,306,query-level normalization,0.43916
OHSUMED,306,global normalization,0.43002
TD2004,306,query-level normalization,0.23086
TD2004,306,global normalization,0.2622
HP2003,306,query-level normalization,0.70924
HP2003,306,global normalization,0.69028
TD2003,306,query-level normalization,0.26164
TD2003,306,global normalization,0.2955
NP2003,306,query-level normalization,0.17612
NP2003,306,global normalization,0.17006
NP2004,308,query-level normalization,0.13082
NP2004,308,global normalization,0.16402
HP2004,308,query-level normalization,0.39438
HP2004,308,global normalization,0.31066
OHSUMED,308,query-level normalization,0.43824
OHSUMED,308,global normalization,0.43428
TD2004,308,query-level normalization,0.28924
TD2004,308,global normalization,0.26184
HP2003,308,query-level normalization,0.74078
HP2003,308,global normalization,0.7438
TD2003,308,query-level normalization,0.34298
TD2003,308,global normalization,0.3377
NP2003,308,query-level normalization,0.25002
NP2003,308,global normalization,0.18056
NP2004,310,query-level normalization,0.1822
NP2004,310,global normalization,0.18846
HP2004,310,query-level normalization,0.46946
HP2004,310,global normalization,0.67876
OHSUMED,310,query-level normalization,0.44112
OHSUMED,310,global normalization,0.44508
TD2004,310,query-level normalization,0.25308
TD2004,310,global normalization,0.24524
HP2003,310,query-level normalization,0.725
HP2003,310,global normalization,0.71182
TD2003,310,query-level normalization,0.31764
TD2003,310,global normalization,0.32604
NP2003,310,query-level normalization,0.19932
NP2003,310,global normalization,0.16414
NP2004,312,query-level normalization,0.19702
NP2004,312,global normalization,0.15402
HP2004,312,query-level normalization,0.12704
HP2004,312,global normalization,0.41178
OHSUMED,312,query-level normalization,0.4387
OHSUMED,312,global normalization,0.44602
TD2004,312,query-level normalization,0.26824
TD2004,312,global normalization,0.2463
HP2003,312,query-level normalization,0.72334
HP2003,312,global normalization,0.69812
TD2003,312,query-level normalization,0.30506
TD2003,312,global normalization,0.31544
NP2003,312,query-level normalization,0.17254
NP2003,312,global normalization,0.27406
NP2004,314,query-level normalization,0.18938
NP2004,314,global normalization,0.12856
HP2004,314,query-level normalization,0.41518
HP2004,314,global normalization,0.4817
OHSUMED,314,query-level normalization,0.4365
OHSUMED,314,global normalization,0.43906
TD2004,314,query-level normalization,0.27628
TD2004,314,global normalization,0.2516
HP2003,314,query-level normalization,0.68438
HP2003,314,global normalization,0.70134
TD2003,314,query-level normalization,0.32316
TD2003,314,global normalization,0.31396
NP2003,314,query-level normalization,0.19316
NP2003,314,global normalization,0.19596
NP2004,316,query-level normalization,0.28466
NP2004,316,global normalization,0.12976
HP2004,316,query-level normalization,0.40944
HP2004,316,global normalization,0.0406
OHSUMED,316,query-level normalization,0.44394
OHSUMED,316,global normalization,0.4285
TD2004,316,query-level normalization,0.252
TD2004,316,global normalization,0.26272
HP2003,316,query-level normalization,0.73846
HP2003,316,global normalization,0.71984
TD2003,316,query-level normalization,0.3355
TD2003,316,global normalization,0.31318
NP2003,316,query-level normalization,0.20248
NP2003,316,global normalization,0.17338
NP2004,318,query-level normalization,0.12002
NP2004,318,global normalization,0.24766
HP2004,318,query-level normalization,0.50528
HP2004,318,global normalization,0.1518
OHSUMED,318,query-level normalization,0.44812
OHSUMED,318,global normalization,0.4367
TD2004,318,query-level normalization,0.24298
TD2004,318,global normalization,0.27504
HP2003,318,query-level normalization,0.71988
HP2003,318,global normalization,0.74098
TD2003,318,query-level normalization,0.324
TD2003,318,global normalization,0.32206
NP2003,318,query-level normalization,0.19096
NP2003,318,global normalization,0.20862
NP2004,320,query-level normalization,0.1628
NP2004,320,global normalization,0.2395
HP2004,320,query-level normalization,0.21244
HP2004,320,global normalization,0.21454
OHSUMED,320,query-level normalization,0.43868
OHSUMED,320,global normalization,0.43492
TD2004,320,query-level normalization,0.24998
TD2004,320,global normalization,0.25256
HP2003,320,query-level normalization,0.71974
HP2003,320,global normalization,0.67546
TD2003,320,query-level normalization,0.3244
TD2003,320,global normalization,0.3366
NP2003,320,query-level normalization,0.22804
NP2003,320,global normalization,0.19268
NP2004,322,query-level normalization,0.2238
NP2004,322,global normalization,0.15252
HP2004,322,query-level normalization,0.54868
HP2004,322,global normalization,0.25044
OHSUMED,322,query-level normalization,0.42614
OHSUMED,322,global normalization,0.42756
TD2004,322,query-level normalization,0.24378
TD2004,322,global normalization,0.27876
HP2003,322,query-level normalization,0.69306
HP2003,322,global normalization,0.71856
TD2003,322,query-level normalization,0.31066
TD2003,322,global normalization,0.32554
NP2003,322,query-level normalization,0.21188
NP2003,322,global normalization,0.25406
NP2004,324,query-level normalization,0.15234
NP2004,324,global normalization,0.16122
HP2004,324,query-level normalization,0.01506
HP2004,324,global normalization,0.40866
OHSUMED,324,query-level normalization,0.43884
OHSUMED,324,global normalization,0.4311
TD2004,324,query-level normalization,0.2624
TD2004,324,global normalization,0.23574
HP2003,324,query-level normalization,0.66018
HP2003,324,global normalization,0.63382
TD2003,324,query-level normalization,0.30358
TD2003,324,global normalization,0.33046
NP2003,324,query-level normalization,0.23336
NP2003,324,global normalization,0.1822
NP2004,326,query-level normalization,0.21974
NP2004,326,global normalization,0.1936
HP2004,326,query-level normalization,0.3115
HP2004,326,global normalization,0.09606
OHSUMED,326,query-level normalization,0.43918
OHSUMED,326,global normalization,0.43526
TD2004,326,query-level normalization,0.25104
TD2004,326,global normalization,0.32238
HP2003,326,query-level normalization,0.68282
HP2003,326,global normalization,0.71544
TD2003,326,query-level normalization,0.35036
TD2003,326,global normalization,0.31874
NP2003,326,query-level normalization,0.19234
NP2003,326,global normalization,0.20612
NP2004,328,query-level normalization,0.16248
NP2004,328,global normalization,0.1794
HP2004,328,query-level normalization,0.42766
HP2004,328,global normalization,0.11476
OHSUMED,328,query-level normalization,0.43766
OHSUMED,328,global normalization,0.4268
TD2004,328,query-level normalization,0.28188
TD2004,328,global normalization,0.27982
HP2003,328,query-level normalization,0.67994
HP2003,328,global normalization,0.69438
TD2003,328,query-level normalization,0.3375
TD2003,328,global normalization,0.3295
NP2003,328,query-level normalization,0.24598
